Indicator,Year,Age Group,Cases,Rate per 100000
Acute Viral Hepatitis C,2022,0-14,9,0
Acute Viral Hepatitis C,2022,15-24,371,0.9
Acute Viral Hepatitis C,2022,25-34,"1,445",3.3
Acute Viral Hepatitis C,2022,35-44,"1,268",3
Acute Viral Hepatitis C,2022,45-54,714,1.8
Acute Viral Hepatitis C,2022,55-64,619,1.5
Acute Viral Hepatitis C,2022,65+,422,0.7
Acute Viral Hepatitis C,2021,0-14,5,0
Acute Viral Hepatitis C,2021,15-24,412,1
Acute Viral Hepatitis C,2021,25-34,"1,559",3.5
Acute Viral Hepatitis C,2021,35-44,"1,209",2.9
Acute Viral Hepatitis C,2021,45-54,736,1.9
Acute Viral Hepatitis C,2021,55-64,676,1.6
Acute Viral Hepatitis C,2021,65+,416,0.8
Acute Viral Hepatitis C,2020 (COVID-19 Pandemic),0-14,3,0
Acute Viral Hepatitis C,2020 (COVID-19 Pandemic),15-24,467,1.1
Acute Viral Hepatitis C,2020 (COVID-19 Pandemic),25-34,"1,691",3.8
Acute Viral Hepatitis C,2020 (COVID-19 Pandemic),35-44,"1,124",2.7
Acute Viral Hepatitis C,2020 (COVID-19 Pandemic),45-54,636,1.6
Acute Viral Hepatitis C,2020 (COVID-19 Pandemic),55-64,547,1.3
Acute Viral Hepatitis C,2020 (COVID-19 Pandemic),65+,329,0.6
Acute Viral Hepatitis C,2019,0-14,6,0
Acute Viral Hepatitis C,2019,15-24,499,1.2
Acute Viral Hepatitis C,2019,25-34,"1,580",3.6
Acute Viral Hepatitis C,2019,35-44,971,2.4
Acute Viral Hepatitis C,2019,45-54,511,1.3
Acute Viral Hepatitis C,2019,55-64,379,0.9
Acute Viral Hepatitis C,2019,65+,190,0.4
Acute Viral Hepatitis C,2018,0-14,9,0
Acute Viral Hepatitis C,2018,15-24,558,1.4
Acute Viral Hepatitis C,2018,25-34,"1,451",3.4
Acute Viral Hepatitis C,2018,35-44,718,1.8
Acute Viral Hepatitis C,2018,45-54,422,1.1
Acute Viral Hepatitis C,2018,55-64,307,0.8
Acute Viral Hepatitis C,2018,65+,151,0.3
Acute Viral Hepatitis C,2017,0-14,30,0.1
Acute Viral Hepatitis C,2017,15-24,511,1.3
Acute Viral Hepatitis C,2017,25-34,"1,303",3.1
Acute Viral Hepatitis C,2017,35-44,615,1.6
Acute Viral Hepatitis C,2017,45-54,365,0.9
Acute Viral Hepatitis C,2017,55-64,249,0.6
Acute Viral Hepatitis C,2017,65+,84,0.2
Acute Viral Hepatitis C,2016,0-14,10,0
Acute Viral Hepatitis C,2016,15-24,538,1.3
Acute Viral Hepatitis C,2016,25-34,"1,184",2.8
Acute Viral Hepatitis C,2016,35-44,602,1.6
Acute Viral Hepatitis C,2016,45-54,353,0.9
Acute Viral Hepatitis C,2016,55-64,189,0.5
Acute Viral Hepatitis C,2016,65+,70,0.2
Acute Viral Hepatitis C,2015,0-14,9,0
Acute Viral Hepatitis C,2015,15-24,539,1.2
Acute Viral Hepatitis C,2015,25-34,970,2.2
Acute Viral Hepatitis C,2015,35-44,449,1.1
Acute Viral Hepatitis C,2015,45-54,296,0.7
Acute Viral Hepatitis C,2015,55-64,126,0.3
Acute Viral Hepatitis C,2015,65+,45,0.1
Acute Viral Hepatitis C,2014,0-14,15,0
Acute Viral Hepatitis C,2014,15-24,502,1.1
Acute Viral Hepatitis C,2014,25-34,868,2
Acute Viral Hepatitis C,2014,35-44,417,1
Acute Viral Hepatitis C,2014,45-54,218,0.5
Acute Viral Hepatitis C,2014,55-64,110,0.3
Acute Viral Hepatitis C,2014,65+,37,0.1
Acute Viral Hepatitis C,2013,0-14,14,0
Acute Viral Hepatitis C,2013,15-24,474,1.1
Acute Viral Hepatitis C,2013,25-34,759,1.8
Acute Viral Hepatitis C,2013,35-44,361,0.9
