Indicator,Year,Sex,Cases,Rate per 100000
Acute Viral Hepatitis C,2022,Female,"1,614",1
Acute Viral Hepatitis C,2022,Male,"3,227",2
Acute Viral Hepatitis C,2021,Female,"1,669",1
Acute Viral Hepatitis C,2021,Male,"3,348",2.1
Acute Viral Hepatitis C,2020 (COVID-19 Pandemic),Female,"1,687",1
Acute Viral Hepatitis C,2020 (COVID-19 Pandemic),Male,"3,105",2
Acute Viral Hepatitis C,2019,Female,"1,653",1
Acute Viral Hepatitis C,2019,Male,"2,471",1.6
Acute Viral Hepatitis C,2018,Female,"1,605",1
Acute Viral Hepatitis C,2018,Male,"2,012",1.3
Acute Viral Hepatitis C,2017,Female,"1,418",0.9
Acute Viral Hepatitis C,2017,Male,"1,758",1.2
Acute Viral Hepatitis C,2016,Female,"1,310",1.2
Acute Viral Hepatitis C,2016,Male,"1,627",1.5
Acute Viral Hepatitis C,2015,Female,"1,093",0.7
Acute Viral Hepatitis C,2015,Male,"1,334",0.9
Acute Viral Hepatitis C,2014,Female,"1,025",0.7
Acute Viral Hepatitis C,2014,Male,"1,167",0.8
Acute Viral Hepatitis C,2013,Female,993,0.7
Acute Viral Hepatitis C,2013,Male,"1,142",0.8
Acute Viral Hepatitis C,2012,Female,821,0.5
Acute Viral Hepatitis C,2012,Male,955,0.7
Acute Viral Hepatitis C,2011,Female,585,0.4
Acute Viral Hepatitis C,2011,Male,641,0.4
Acute Viral Hepatitis C,2010,Female,392,0.3
Acute Viral Hepatitis C,2010,Male,454,0.3
Acute Viral Hepatitis C,2009,Female,386,0.3
Acute Viral Hepatitis C,2009,Male,394,0.3
Acute Viral Hepatitis C,2008,Female,422,0.3
Acute Viral Hepatitis C,2008,Male,438,0.3
Acute Viral Hepatitis C,2007,Female,396,0.3
Acute Viral Hepatitis C,2007,Male,452,0.3
Acute Viral Hepatitis C,2006,Female,369,0.2
Acute Viral Hepatitis C,2006,Male,429,0.3
Acute Viral Hepatitis C,2005,Female,315,0.2
Acute Viral Hepatitis C,2005,Male,377,0.3
Acute Viral Hepatitis C,2004,Female,316,0.2
Acute Viral Hepatitis C,2004,Male,411,0.3
Acute Viral Hepatitis C,2003,Female,373,0.3
Acute Viral Hepatitis C,2003,Male,518,0.4
Acute Viral Hepatitis C,2002,Female,476,0.3
Acute Viral Hepatitis C,2002,Male,739,0.5
Acute Viral Hepatitis C,2001,Female,602,0.4
Acute Viral Hepatitis C,2001,Male,"1,016",0.8
Acute Viral Hepatitis C,2000,Female,"1,189",0.8
Acute Viral Hepatitis C,2000,Male,"1,944",1.4
